1	0	0	AAAAACAAA
1	0	0	ACAAACBAA
0	0	0	BCACBCBCB
1	0	0	BABABABCA
1	0	0	BCBABCBCB
1	0	0	BABCAAACA
1	0	0	BAACBAAAB
1	0	0	BCAABABCB
1	0	0	BCBCBCBCB
1	0	0	BABABCBCB
0	0	0	AABCBAACB
1	0	0	BCBAAAACA
1	0	0	AAAAAAAAA
1	0	0	BCBCBAACB
1	0	0	BAAAAAAAA
0	0	0	ACAAAAAAA
1	0	0	BCBCACBCB
0	0	0	BAAABABCA
1	0	0	AAAAAAACA
1	0	0	AAAAAAAAA
1	0	0	BABCBCBCB
1	0	0	BAAABCBAB
1	0	0	BCBCBCBCB
1	0	0	AAAAACAAA
1	0	0	BABAACACA
0	0	0	BAAAAABAB
0	0	0	AAAAAAACA
1	0	0	AAACACBCA
0	0	0	BCAABABCB
0	0	0	AAAAAAAAA
0	0	0	BCBAAABAA
0	0	0	BAACBAAAA
0	0	0	AAAAAAAAA
1	0	0	BCBCBCACB
1	0	0	ACAABABCB
1	0	0	BCBCBCBCB
1	0	0	AAAABAAAA
1	0	0	AABAACACB
1	0	0	AAAAACBAA
0	0	0	BCBAAABCB
1	0	0	BCACBCAAB
1	0	0	AAAAAAAAA
0	0	0	BCBABCBCB
1	0	0	AAAAAAAAB
1	0	0	BABAACAAA
1	0	0	ACBCBCBCB
1	0	0	BABABABCA
1	0	0	BAAAACBCB
0	0	0	AAAAAAACA
1	0	0	AAACACBCA
1	0	0	BAACBCBAB
0	0	0	BCBCBCBCA
1	0	0	ACACAAAAA
1	0	0	AAAAAAACA
1	0	0	AABCBCBCB
1	0	0	BCAABCACA
0	0	0	BCBCBCBCB
1	0	0	BCBCBCBCB
0	0	0	AAAAAAAAA
1	0	0	BABAACACB
1	0	0	BCBCBCACB
1	0	0	BABCAABCA
1	0	0	BCBCBCBCB
1	0	0	BABCBCBCB
1	0	0	BCACAAACB
0	0	0	ACBCBAACB
0	0	0	ACAABAAAA
1	0	0	BCBCBCACB
0	0	0	AABCACAAA
0	0	0	AAAABCAAA
0	0	0	BCBABABAB
1	0	0	AAAAAAACA
0	0	0	BCBCACBAB
0	0	0	BCAABCACB
0	0	0	BAACAABAA
0	0	0	AAAAAAAAA
0	0	0	ACAAACAAA
0	0	0	BCBCBCBCA
0	0	0	BCBCBCBCB
1	0	0	BCACACBAA
1	0	0	ACACBAACB
0	0	0	BCBCAAAAB
0	0	0	BAAAAAACB
1	0	0	BCBCBCBCB
0	0	0	BCBCBCBCB
0	0	0	BCBCACBCB
0	0	0	BAACAABCA
1	0	0	BCBCBCACB
0	0	0	ACBCBABCB
0	0	0	ACAAAAAAB
0	0	0	AABAAAACB
0	0	0	BCAABCACA
1	0	0	ACACBCBCB
1	0	0	AAAAAABAA
1	0	0	ACBCBCACB
1	0	0	BCAABCBCB
1	0	0	BCBABABCB
1	0	0	BAACACAAA
0	0	0	ACBAAAAAA
0	0	0	AAAAAAAAA
1	0	0	BCBABCBAB
0	0	0	BCBABCBAB
0	0	0	BCACBCACA
0	0	0	AABAACBAA
0	0	0	ACACBAACB
0	0	0	BCACBCAAB
0	0	0	AAAAAABAA
1	0	0	BAAAACBAB
0	0	0	ACBCACBCB
1	0	0	AAAAAAAAA
1	0	0	ACAAACACA
1	0	0	ACBCACBCA
0	0	0	BCBCACBCB
1	0	0	AAAAAABAA
1	0	0	AAAAAAAAA
1	0	0	AABCBCACA
1	0	0	AABCBCAAB
0	0	0	BCBCBCBCB
1	0	0	BAAAAABAB
0	0	0	AAAAAAAAA
1	0	0	BABCBABCA
0	0	0	BCBCBCBCB
1	0	0	BCBCBABCB
1	0	0	AAAAAAAAA
0	0	0	BAACAABAA
1	0	0	BCACBABCA
0	0	0	AABCBCAAB
1	0	0	ACAABCACB
1	0	0	BCBCAABCA
0	0	0	AAACAAAAA
0	0	0	AAACAABCB
1	0	0	ACACBCBAA
0	0	0	BCBCBCBCB
1	0	0	AABCACBCA
0	0	0	AAACBAAAB
1	0	0	AAAABCAAA
1	0	0	AABCBABAB
0	0	0	AAAAACBAA
1	0	0	AAAAACAAA
1	0	0	BAACACACB
1	0	0	AAAAAAAAA
